iter	Passed	Remaining
442	1215	1528
443	1217	1524
444	1220	1521
445	1222	1518
446	1224	1515
447	1226	1511
448	1228	1508
449	1231	1505
450	1234	1502
451	1236	1499
452	1239	1496
453	1241	1493
454	1244	1490
455	1246	1486
456	1248	1483
457	1250	1480
458	1253	1477
459	1255	1473
460	1257	1470
461	1260	1467
462	1262	1464
463	1265	1461
464	1267	1458
465	1269	1454
466	1272	1451
467	1274	1448
468	1276	1445
469	1278	1442
470	1281	1438
471	1283	1435
472	1285	1432
473	1287	1428
474	1289	1425
475	1292	1422
476	1294	1419
477	1296	1415
478	1298	1412
479	1301	1409
480	1303	1406
481	1305	1403
482	1307	1400
483	1310	1396
484	1312	1393
485	1314	1390
486	1317	1387
487	1319	1384
488	1321	1381
489	1324	1378
490	1326	1375
491	1328	1371
492	1331	1368
493	1333	1365
494	1335	1362
495	1337	1359
496	1340	1356
497	1342	1352
498	1344	1349
499	1346	1346
500	1348	1343
501	1350	1340
502	1353	1337
503	1355	1333
504	1357	1330
505	1359	1327
506	1362	1324
507	1364	1321
508	1366	1318
509	1369	1315
510	1371	1312
511	1373	1309
512	1376	1306
513	1378	1303
514	1381	1300
515	1383	1297
516	1385	1294
517	1387	1291
518	1390	1288
519	1392	1285
520	1394	1282
521	1397	1279
522	1399	1276
523	1401	1273
524	1403	1270
525	1406	1267
526	1408	1264
527	1410	1261
528	1413	1258
529	1415	1255
530	1417	1252
531	1419	1249
532	1422	1246
533	1424	1243
534	1426	1240
535	1429	1237
536	1431	1233
537	1433	1230
538	1435	1227
539	1437	1224
540	1440	1221
541	1442	1218
542	1444	1215
543	1446	1212
544	1448	1209
545	1451	1206
546	1453	1203
547	1455	1200
548	1457	1197
549	1460	1194
550	1462	1191
551	1464	1188
552	1467	1186
553	1469	1183
554	1472	1180
555	1474	1177
556	1476	1174
557	1478	1171
558	1480	1168
559	1483	1165
560	1485	1162
561	1487	1159
562	1490	1156
563	1492	1153
564	1494	1150
565	1496	1147
566	1498	1144
567	1501	1141
568	1503	1138
569	1505	1135
570	1507	1132
571	1510	1129
572	1512	1127
573	1514	1124
574	1516	1120
575	1518	1118
576	1521	1115
577	1523	1112
578	1526	1109
579	1528	1106
580	1530	1104
581	1533	1101
582	1535	1098
583	1537	1095
584	1540	1092
585	1542	1089
586	1544	1086
587	1546	1083
588	1549	1080
589	1551	1078
590	1553	1075
591	1556	1072
592	1558	1069
593	1560	1066
594	1562	1063
595	1565	1060
596	1567	1057
597	1569	1055
598	1571	1052
599	1574	1049
600	1576	1046
601	1578	1043
602	1580	1040
603	1583	1037
604	1585	1035
605	1587	1032
606	1590	1029
607	1592	1026
608	1594	1023
609	1596	1020
610	1599	1018
611	1601	1015
612	1603	1012
613	1606	1009
614	1608	1006
615	1610	1004
616	1613	1001
617	1615	998
618	1617	995
619	1619	992
620	1622	990
621	1624	987
622	1627	984
623	1629	981
624	1631	978
625	1633	976
626	1636	973
627	1638	970
628	1640	967
629	1642	964
630	1644	961
631	1647	959
632	1649	956
633	1651	953
634	1653	950
635	1656	947
636	1658	945
637	1660	942
638	1662	939
639	1664	936
640	1667	933
641	1669	930
642	1671	928
643	1674	925
644	1676	922
645	1678	919
646	1680	916
647	1683	914
648	1685	911
649	1687	908
650	1689	905
651	1692	903
652	1694	900
653	1696	897
654	1698	894
655	1701	892
656	1703	889
657	1705	886
658	1708	883
659	1710	881
660	1712	878
661	1714	875
662	1717	872
663	1719	870
664	1721	867
665	1724	864
666	1726	861
667	1728	859
668	1730	856
669	1733	853
670	1735	850
671	1737	848
672	1740	845
673	1742	842
674	1744	840
675	1747	837
676	1749	834
677	1752	832
678	1754	829
679	1756	826
680	1759	824
681	1761	821
682	1764	818
683	1766	816
684	1768	813
685	1771	810
686	1773	807
687	1775	805
688	1777	802
689	1780	799
690	1782	797
691	1784	794
692	1787	791
693	1789	789
694	1792	786
695	1794	783
696	1796	781
697	1799	778
698	1801	775
699	1804	773
700	1806	770
701	1808	767
702	1811	765
703	1813	762
704	1815	759
705	1817	757
706	1819	754
707	1822	751
708	1824	748
709	1826	746
710	1828	743
711	1830	740
712	1833	737
713	1835	735
714	1837	732
715	1839	729
716	1841	726
717	1843	724
718	1846	721
719	1848	718
720	1850	716
721	1852	713
722	1854	710
723	1857	708
724	1859	705
725	1861	702
726	1864	700
727	1866	697
728	1868	694
729	1870	691
730	1873	689
731	1875	686
732	1878	684
733	1880	681
734	1882	678
735	1885	676
736	1887	673
737	1889	670
738	1891	668
739	1894	665
740	1896	662
741	1898	660
742	1900	657
743	1902	654
744	1904	651
745	1907	649
746	1909	646
747	1912	644
748	1914	641
749	1916	638
750	1919	636
751	1921	633
752	1923	631
753	1925	628
754	1928	625
755	1930	623
756	1932	620
757	1934	617
758	1937	615
759	1939	612
760	1941	609
761	1943	607
762	1946	604
763	1948	601
764	1950	599
765	1953	596
766	1955	594
767	1957	591
768	1959	588
769	1962	586
770	1964	583
771	1966	580
772	1969	578
773	1971	575
774	1973	573
775	1976	570
776	1978	567
777	1980	565
778	1983	562
779	1985	560
780	1988	557
781	1990	554
782	1992	552
783	1994	549
784	1996	546
785	1999	544
786	2001	541
787	2003	539
788	2006	536
789	2008	533
790	2010	531
791	2013	528
792	2015	526
793	2017	523
794	2020	520
795	2022	518
796	2024	515
797	2026	513
798	2029	510
799	2031	507
800	2033	505
801	2035	502
802	2038	500
803	2040	497
804	2042	494
805	2045	492
806	2047	489
807	2049	487
808	2052	484
809	2054	481
810	2056	479
811	2059	476
812	2061	474
813	2063	471
814	2065	468
815	2068	466
816	2070	463
817	2072	461
818	2074	458
819	2077	455
820	2079	453
821	2081	450
822	2083	448
823	2086	445
824	2088	443
825	2091	440
826	2093	437
827	2095	435
828	2098	432
829	2100	430
830	2102	427
831	2105	425
832	2107	422
833	2110	419
834	2112	417
835	2114	414
836	2117	412
837	2119	409
838	2121	407
839	2124	404
840	2126	402
841	2129	399
842	2131	396
843	2133	394
844	2135	391
845	2138	389
846	2140	386
847	2142	384
848	2144	381
849	2146	378
850	2148	376
851	2151	373
852	2153	371
853	2155	368
854	2157	365
855	2159	363
856	2162	360
857	2164	358
858	2166	355
859	2168	353
860	2171	350
861	2173	347
862	2175	345
863	2177	342
864	2180	340
865	2182	337
866	2184	335
867	2186	332
868	2189	329
869	2191	327
870	2193	324
871	2195	322
872	2198	319
873	2200	317
874	2202	314
875	2205	312
876	2207	309
877	2209	307
878	2211	304
879	2214	301
880	2216	299
881	2219	296
882	2221	294
883	2224	291
884	2226	289
885	2229	286
886	2231	284
887	2233	281
888	2236	279
889	2238	276
890	2240	274
891	2243	271
892	2245	269
893	2247	266
894	2249	263
895	2252	261
896	2254	258
897	2256	256
898	2259	253
899	2261	251
900	2263	248
901	2266	246
902	2268	243
903	2270	241
904	2273	238
905	2275	236
906	2277	233
907	2279	231
908	2282	228
909	2284	225
910	2298	224
911	2301	222
912	2305	219
913	2308	217
914	2311	214
915	2314	212
916	2316	209
917	2319	207
918	2321	204
919	2323	202
920	2325	199
921	2328	196
922	2330	194
923	2332	191
924	2334	189
925	2337	186
926	2339	184
927	2341	181
928	2343	179
929	2346	176
930	2348	174
931	2350	171
932	2353	168
933	2355	166
934	2357	163
935	2360	161
936	2362	158
937	2364	156
938	2366	153
939	2368	151
940	2370	148
941	2373	146
942	2375	143
943	2377	141
944	2379	138
945	2382	135
946	2384	133
947	2386	130
948	2388	128
949	2390	125
950	2393	123
951	2395	120
952	2397	118
953	2399	115
954	2402	113
955	2404	110
956	2406	108
957	2408	105
958	2411	103
959	2413	100
960	2415	98
961	2418	95
962	2420	92
963	2422	90
964	2424	87
965	2426	85
966	2429	82
967	2431	80
968	2433	77
969	2435	75
970	2438	72
971	2440	70
972	2443	67
973	2445	65
974	2447	62
975	2450	60
976	2452	57
977	2454	55
978	2456	52
979	2459	50
980	2461	47
981	2463	45
982	2465	42
983	2467	40
984	2469	37
985	2472	35
986	2474	32
987	2476	30
988	2478	27
989	2481	25
990	2483	22
991	2486	20
992	2488	17
993	2490	15
994	2492	12
995	2495	10
996	2497	7
997	2499	5
998	2502	2
999	2504	0
