iter	Logloss
0	0.6851837158
1	0.6768987427
2	0.6690105591
3	0.6615924683
4	0.6543342285
5	0.6476322632
6	0.6410446777
7	0.6345219116
8	0.6285569458
9	0.6226793213
10	0.6174845581
11	0.6120975342
12	0.6077818604
13	0.6033811035
14	0.5986888428
15	0.5939857178
16	0.5897069092
17	0.5858792114
18	0.5813707275
19	0.5775655518
20	0.5739728394
21	0.5707322998
22	0.5679515381
23	0.5647320557
24	0.5616450195
25	0.5587008057
26	0.5560883179
27	0.5535509033
28	0.551354248
29	0.5488380127
30	0.5467366943
31	0.5443636475
32	0.5419415283
33	0.539876709
34	0.5379834595
35	0.5357000732
36	0.5333810425
37	0.5313978271
38	0.5290015869
39	0.5273948364
40	0.5246035156
41	0.5230770264
42	0.5212692261
43	0.5195808105
44	0.5178115234
45	0.5161420288
46	0.5146233521
47	0.513152832
48	0.5116547241
49	0.5103207092
50	0.5090281067
51	0.5076885376
52	0.5063423462
53	0.5049573669
54	0.503899292
55	0.5023597412
56	0.5011108093
57	0.4997366333
58	0.4981339722
59	0.4970697632
60	0.4956094971
61	0.4946749268
62	0.4935432434
63	0.4925179749
64	0.4915324097
65	0.4904285278
66	0.4894476929
67	0.4886355591
68	0.487806488
69	0.4861933594
70	0.4848482361
71	0.4835246582
72	0.4818349304
73	0.4807406616
74	0.4799332886
75	0.4791907654
76	0.4786446838
77	0.4777371521
78	0.4770469971
79	0.4761003418
80	0.4754740906
81	0.4741750793
82	0.4732685852
83	0.4724637451
84	0.4718591309
85	0.4711156006
86	0.4701368408
87	0.4693056335
88	0.4686543579
89	0.4679160767
90	0.4671286011
91	0.4662949829
92	0.4654378052
93	0.4645721741
94	0.4638933716
95	0.4626918335
96	0.4608635254
97	0.4600366516
98	0.459288269
99	0.4584430237
100	0.4574500122
101	0.4567330627
102	0.4561675415
103	0.455374115
104	0.4548152161
105	0.4542318726
106	0.4530827026
107	0.4522767334
108	0.4517471924
109	0.4512124634
110	0.4503606873
111	0.4497680664
112	0.4492737732
113	0.4486326904
114	0.4482386475
115	0.4475893555
116	0.4469450378
117	0.4461740723
118	0.445399231
119	0.4447880249
120	0.444153717
121	0.442822876
122	0.4424370117
123	0.4416617737
124	0.4410118103
125	0.440244812
126	0.439572052
127	0.4389694519
128	0.4379271545
129	0.4374927979
130	0.4368753357
131	0.4363785706
132	0.4355877686
133	0.4351290283
134	0.4344196167
135	0.4338330688
136	0.4331399536
137	0.432309845
138	0.4318051758
139	0.4312518921
140	0.4306291809
141	0.4301156616
142	0.429513855
143	0.4289707642
144	0.428440979
145	0.4279017029
146	0.4275010376
147	0.4269720154
148	0.4261410522
